Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Sweet Cherry,Kordia,,Turkey,E,775,150,,14000,Kuden et al. 2012
Sweet Cherry,Lambert,,Spain,E,1100,,,,Tabuenca et al. 1984
Sweet Cherry,Lampé (Ramillete),,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Lapins,,Turkey,E,425,94,,15550,Kuden et al. 2012
Sweet Cherry,Larian,,Turkey,E,450,94,,15550,Kuden et al. 2012
Sweet Cherry,Marmotte,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Marvin,,Spain,E,788,1002,57.6,9450,Albuquerque et al. 2008
Sweet Cherry,Merton Glory,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Mollar de cáceres,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Moreau,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Nafrina,,Turkey,E,525,120,,15250,Kuden et al. 2012
Sweet Cherry,Napoleón,,Spain,E,1100,,,,Tabuenca et al. 1984
Sweet Cherry,New Star,,Spain,E,709,909,53.5,8257,Albuquerque et al. 2008
Sweet Cherry,Noir de Guben,,Turkey,E,625,110,,14250,Kuden et al. 2012
Sweet Cherry,Pico Colorado,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Producta,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Ramón Oliva,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Regina,,Spain,E,,,86,,Campoy et al. 2019
Sweet Cherry,Reverchon,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Ripolla,,Spain,E,850,,,,Tabuenca et al. 1984
Sweet Cherry,Ruby,,Spain,E,618,806,48,7326,Albuquerque et al. 2008
Sweet Cherry,Somerset,,Spain,E,618,806,48,8625.2,Albuquerque et al. 2008
Sweet Cherry,Schneiders,,Germany,S,698,794,45.7,3473,Luedeling et al. 2013
Sweet Cherry,Skeena,,Spain,E,,1559,,,Fadón et al. 2018
Sweet Cherry,Stark Hardy Giant,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Summit,,Turkey,E,650,125,,15000,Kuden et al. 2012
Sweet Cherry,Sunburst,,Turkey,E,675,141,,14250,Kuden et al. 2012
Sweet Cherry,Taleguera Brillante,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Temprana de Sot,,Spain,E,1050,,,,Tabuenca et al. 1984
Sweet Cherry,Tigré,,Spain,E,950,,,,Tabuenca et al. 1984
Sweet Cherry,Van,,Spain,E,950,,,,Tabuenca et al. 1985
Sweet Cherry,Vernon,,Spain,E,950,,,,Tabuenca et al. 1986
Sweet Cherry,Vignola,,Spain,E,1100,,,,Tabuenca et al. 1987
Sweet Cherry,Villareta,,Spain,E,950,,,,Tabuenca et al. 1988
Sweet Cherry,0900 Ziraat,,Turkey,E,625,134,,15550,Kuden et al. 2012
Sour Cherry,Montmorency,,USA,S,,954,,6130,Anderson et al. 1986
Japanese Plum,Angeleno,,Spain,E,440.5,764.5,44.9,7740,[31]
Japanese Plum,Apex,,Spain,E,582,,,,[91]
Japanese Plum,Black Diamond,,Spain,E,410.5,690,42.9,7531,[31]
Japanese Plum,Black Splendor,,Spain,E,268.5,521,30.15,6224.5,[31]
Japanese Plum,Burbank,,Spain,E,582,,,,[91]
Japanese Plum,Formosa,,Spain,E,582,,,,[91]
Japanese Plum,Fortune,,Spain,E,441.5,759.5,43.2,7593.5,[31]
Japanese Plum,Golden Globe,,Spain,E,579,962.5,54.15,8225.5,[31]
Japanese Plum,Golden Japan,,Spain,E,202.5,,,,[91]
Japanese Plum,Golden Japan,,Spain,E,419,765,43.75,7397,[31]
Japanese Plum,Laetitia,,Spain,E,445,789.5,45.9,7957,[31]
Japanese Plum,Methley,,Spain,E,178.5,,,,[91]
Japanese Plum,Pioneer,,Spain,E,206,327.5,23,5990.5,[31]
Japanese Plum,Red Beauty,,Spain,E,317,594,35.8,6955,[31]
Japanese Plum,Santa Rosa,,Spain,E,499.5,,,,[91]
Japanese Plum,Santa Rosa,,Spain,E,447.5,789.5,46.95,7845,[31]
Japanese Plum,Songold,,Spain,E,595.5,987.5,60.75,9311,[31]
Japanese Plum,Wickson,,Spain,E,486,,,,[91]
Japanese apricot,67,,China,E,,,69,994,"Zhuang et al., 2016"
Japanese apricot,Baijiahe,,China,E,,,59,1316,"Zhuang et al., 2016"
Japanese apricot,Changnong17,,China,E,,,69,994,"Zhuang et al., 2016"
Japanese apricot,Dabaimei,,China,E,,,56,1669,"Zhuang et al., 2016"
Japanese apricot,Dali,,China,E,,,40,1192,"Zhuang et al., 2016"
Japanese apricot,Danfenghou,,China,E,,,73,2054,"Zhuang et al., 2016"
Japanese apricot,Daqiandi,,China,E,,,66.5,1096,"Zhuang et al., 2016"
Japanese apricot,Daroumei,,China,E,,,38.5,1100,"Zhuang et al., 2016"
Japanese apricot,Dayezhugan,,China,E,,,73,1651,"Zhuang et al., 2016"
Japanese apricot,Dayu,,China,E,,,69,822,"Zhuang et al., 2016"
Japanese apricot,Dongqing,,China,E,875,1054,58,1018,"Gao et al., 2012"
Japanese apricot,Dongshanlimei,,China,E,,,50,1250,"Zhuang et al., 2016"
Japanese apricot,Ellching,,Japan,E,300,,,,"Yamane et al., 2006"
Japanese apricot,Fenghou,,China,E,1148,1323,73,1697,"Gao et al., 2012"
Japanese apricot,Fenghualimei,,China,E,,,56,1533,"Zhuang et al., 2016"
Japanese apricot,Gaotianfenghou,,China,E,,,73,2054,"Zhuang et al., 2016"
Japanese apricot,Gaotiangmei,,China,E,,,64.5,1099,"Zhuang et al., 2016"
Japanese apricot,Guangdonghuangpi,,China,E,,,40,1192,"Zhuang et al., 2016"
Japanese apricot,Gucheng,,China,E,,,59,1383,"Zhuang et al., 2016"
Japanese apricot,Hangzhoubaimei,,China,E,,,60,1231,"Zhuang et al., 2016"
Japanese apricot,Henghe,,China,E,,,34,1287,"Zhuang et al., 2016"
Japanese apricot,Hongding,,China,E,,,69,860,"Zhuang et al., 2016"
Japanese apricot,Hongmei,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Hongnong,,China,E,,,75,1675,"Zhuang et al., 2016"
Japanese apricot,Huangxiaoda,,China,E,,,56,1533,"Zhuang et al., 2016"
Japanese apricot,Huaxiangshi,,China,E,,,33.5,1072,"Zhuang et al., 2016"
Japanese apricot,Jiazhouxiaomei,,China,E,,,69,1733,"Zhuang et al., 2016"
Japanese apricot,Jiazhouzuixiao,,China,E,,,62,1116,"Zhuang et al., 2016"
Japanese apricot,Jietianmei,,China,E,,,77,2378,"Zhuang et al., 2016"
Japanese apricot,Jiuzhongmei,,China,E,,,66.5,1096,"Zhuang et al., 2016"
Japanese apricot,Lizimei,,China,E,,,69,977,"Zhuang et al., 2016"
Japanese apricot,Longyan,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Lve,,China,E,,,29,1268,"Zhuang et al., 2016"
Japanese apricot,Nanhong,,China,E,,,50,1583,"Zhuang et al., 2016"
Japanese apricot,Nanko,,Japan,E,500,,,,"Yamane et al., 2006"
Japanese apricot,Pinzhimei,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Qijiangxingmei,,China,E,,,56,1533,"Zhuang et al., 2016"
Japanese apricot,Qingjia2,,China,E,,,75,1675,"Zhuang et al., 2016"
Japanese apricot,Qixingmei,,China,E,,,60,1232,"Zhuang et al., 2016"
Japanese apricot,Ruantiaohongmei,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Shuangshuidaroumei,,China,E,239,479,26,1235,"Gao et al., 2012"
Japanese apricot,Shuangtaomei,,China,E,,,36.5,1079,"Zhuang et al., 2016"
Japanese apricot,Sichuangbaimei,,China,E,,,60,1231,"Zhuang et al., 2016"
Japanese apricot,Sichuanghuangmei,,China,E,,,60,1231,"Zhuang et al., 2016"
Japanese apricot,Sichuangqingmei,,China,E,,,78.5,2378,"Zhuang et al., 2016"
Japanese apricot,Siyuemei,,China,E,,,60,1231,"Zhuang et al., 2016"
Japanese apricot,Taihu1,,China,E,,,69,977,"Zhuang et al., 2016"
Japanese apricot,Taihu3,,China,E,,,50,1575,"Zhuang et al., 2016"
Japanese apricot,Taoxingmei,,China,E,332,567,32,110,"Gao et al., 2012"
Japanese apricot,Tengwulang,,China,E,,,78.5,2378,"Zhuang et al., 2016"
Japanese apricot,Tonglv,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Touguhong,,China,E,,,62,986,"Zhuang et al., 2016"
Japanese apricot,Wanhong,,China,E,,,73,1835,"Zhuang et al., 2016"
Japanese apricot,Weishanzhong,,China,E,,,50,1574,"Zhuang et al., 2016"
Japanese apricot,Xianmimei,,China,E,,,40,1205,"Zhuang et al., 2016"
Japanese apricot,Xiaomei,,China,E,,,50,1369,"Zhuang et al., 2016"
Japanese apricot,Xiaoougongfen,,China,E,,,42.5,1037,"Zhuang et al., 2016"
Japanese apricot,Xiaoqing,,China,E,,,73,1432,"Zhuang et al., 2016"
Japanese apricot,Xiaoyezhugan,,China,E,,,56,1533,"Zhuang et al., 2016"
Japanese apricot,Xingnongxiaomei,,China,E,,,62,1116,"Zhuang et al., 2016"
Japanese apricot,Xiyeqing,,China,E,828,1040,64,1179,"Gao et al., 2012"
Japanese apricot,Xuemei,,China,E,,,69,1405,"Zhuang et al., 2016"
Japanese apricot,Yanglao1,,China,E,,,59,1530,"Zhuang et al., 2016"
Japanese apricot,Yanglao2,,China,E,,,34,1297,"Zhuang et al., 2016"
Japanese apricot,Yanglao3,,China,E,,,56,1669,"Zhuang et al., 2016"
Japanese apricot,Yanhua,,China,E,1141,1321,76,1250,"Gao et al., 2012"
Japanese apricot,Yanzhimei,,China,E,,,69,977,"Zhuang et al., 2016"
Japanese apricot,Yeliqing,,China,E,,,69,994,"Zhuang et al., 2016"
